target_var,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9
1,211.3375,0,0,bigollo-16,blue,29.0,1,sigma,112.87794148245936
1,151.55,2,1,cantor-33,pink,0.9167,1,sigma,60.291423340617406
0,151.55,2,1,cantor-33,blue,2.0,1,sigma,143.79410265574725
0,151.55,2,1,cantor-33,pink,30.0,1,sigma,131.27835242517
0,151.55,2,1,cantor-33,blue,25.0,1,sigma,204.41571605575584
1,26.55,0,0,euler-23,pink,48.0,1,sigma,75.97058173624448
1,77.9583,0,1,descrates-18,blue,63.0,1,sigma,125.8535205910631
0,0.0,0,0,allen-47,pink,39.0,1,sigma,103.63740081236631
1,51.4792,0,2,cantor-112,blue,53.0,1,sigma,94.42563651108387
0,49.5042,0,0,,pink,71.0,1,gamma,85.68763645367592
0,227.525,0,1,cantor-73,pink,47.0,1,gamma,125.17225556384442
1,227.525,0,1,cantor-73,blue,18.0,1,gamma,95.1348996441715
1,69.3,0,0,bigollo-46,blue,24.0,1,gamma,128.45502587420586
1,78.85,0,0,,blue,26.0,1,sigma,65.65728633892198
1,30.0,0,0,allen-34,pink,80.0,1,sigma,115.14475383706588
0,25.925,0,0,,pink,,1,sigma,192.91762216650966
0,247.5208,1,0,bigollo-69,pink,24.0,1,gamma,108.70464343427172
1,247.5208,1,0,bigollo-69,blue,50.0,1,gamma,165.23308313090325
1,76.2917,0,0,descrates-26,blue,32.0,1,gamma,154.37052776974133
0,75.2417,0,0,cantor-17,pink,36.0,1,gamma,52.23777638855894
1,52.5542,1,1,descrates-46,pink,37.0,1,sigma,135.94645275188827
1,52.5542,1,1,descrates-46,blue,47.0,1,sigma,171.90508613626167
1,30.0,0,0,cantor-159,pink,26.0,1,gamma,118.87276134238581
1,227.525,0,0,,blue,42.0,1,gamma,137.31947708191638
1,221.7792,0,0,cantor-108,blue,29.0,1,sigma,130.3675802891501
0,26.0,0,0,,pink,25.0,1,gamma,176.91145597771185
1,91.0792,0,1,bigollo-60,pink,25.0,1,gamma,-19.1778938586084
1,91.0792,0,1,bigollo-60,blue,19.0,1,gamma,90.11581921577114
1,135.6333,0,0,cantor-110,blue,35.0,1,sigma,162.2513916417574
1,26.55,0,0,cantor-63,pink,28.0,1,sigma,94.82114754355793
0,35.5,0,0,turing,pink,45.0,1,sigma,103.26682076906187
1,31.0,0,0,allen-42,pink,40.0,1,gamma,42.58569385811074
1,164.8667,0,0,cantor-18,blue,30.0,1,sigma,188.74843361063387
1,26.55,0,0,cantor-114,blue,58.0,1,sigma,20.892798616636114
0,26.55,0,0,descrates-33,pink,42.0,1,sigma,177.15550028208384
1,262.375,0,0,,blue,45.0,1,gamma,117.8283105758744
1,55.0,1,0,euler-44,blue,22.0,1,sigma,121.90322704488304
1,26.55,0,0,,pink,,1,sigma,100.45152245217403
0,30.5,0,0,allen-32,pink,41.0,1,sigma,126.11006394990676
0,50.4958,0,0,bigollo-21,pink,48.0,1,gamma,50.03614696041312
0,39.6,0,0,,pink,,1,gamma,93.38214306187982
1,27.7208,0,0,bigollo-15,blue,44.0,1,gamma,113.36988595832426
1,51.4792,0,2,cantor-112,blue,59.0,1,sigma,122.8531319321468
1,76.2917,0,0,descrates-26,blue,60.0,1,gamma,102.97729172441825
1,134.5,0,0,euler-51,blue,41.0,1,gamma,149.4213526790652
0,26.55,0,0,bigollo-49,pink,45.0,1,sigma,124.2751275255735
0,31.0,0,0,,pink,,1,sigma,164.66852780155872
1,26.2875,0,0,euler-35,pink,42.0,1,sigma,-86.13604580311844
1,27.4458,0,0,,blue,53.0,1,gamma,163.9897381578562
1,512.3292,1,0,bigollo-62,pink,36.0,1,gamma,156.8442743556513
1,512.3292,1,0,bigollo-62,blue,58.0,1,gamma,60.89753241189969
0,5.0,0,0,bigollo-62,pink,33.0,1,sigma,168.85769559738742
0,47.1,0,0,,pink,28.0,1,sigma,114.40306857974235
0,47.1,0,0,,pink,17.0,1,sigma,131.12205250476805
1,120.0,2,1,bigollo-107,pink,11.0,1,sigma,74.0465884225956
1,120.0,2,1,bigollo-107,blue,14.0,1,sigma,150.04618270114875
1,120.0,2,1,bigollo-107,pink,36.0,1,sigma,114.75677554014541
1,120.0,2,1,bigollo-107,blue,36.0,1,sigma,121.00367675430337
0,26.0,0,0,,pink,49.0,1,sigma,96.57148003475064
1,27.7208,0,0,,blue,,1,gamma,124.7961634423765
0,78.85,0,1,cantor-57,pink,36.0,1,sigma,124.2311397740593
1,78.85,0,1,cantor-57,blue,76.0,1,sigma,87.70242082117042
0,61.175,0,1,euler-42,pink,46.0,1,sigma,93.15154288106142
1,61.175,0,1,euler-42,blue,47.0,1,sigma,91.65170667709162
1,53.1,0,1,euler-19,pink,27.0,1,sigma,85.73986931097721
1,53.1,0,1,euler-19,blue,33.0,1,sigma,96.4439081093598
1,262.375,0,0,bigollo-72,blue,36.0,1,gamma,83.41808896283707
1,86.5,0,0,bigollo-88,blue,30.0,1,sigma,97.87157092524915
1,29.7,0,0,allen-20,pink,45.0,1,gamma,42.867529341666874
1,55.0,1,0,euler-44,blue,,1,sigma,4.919782199600164
0,0.0,0,0,,pink,,1,sigma,121.64185190619992
0,136.7792,0,1,cantor-100,pink,27.0,1,gamma,46.54065171644668
1,136.7792,0,1,cantor-100,blue,26.0,1,gamma,183.13006157497568
1,151.55,0,0,,blue,22.0,1,sigma,110.6639299566792
0,52.0,0,0,allen-25,pink,,1,sigma,117.77291697416385
0,25.5875,0,0,euler-69,pink,47.0,1,sigma,20.968406480364195
1,83.1583,1,1,euler-60,blue,39.0,1,gamma,156.78047183127313
0,83.1583,1,1,euler-63,pink,37.0,1,gamma,126.25833221569837
1,83.1583,2,0,euler-56,blue,64.0,1,gamma,96.94112085692575
1,25.7,0,2,cantor-112,blue,55.0,1,sigma,47.14783000556483
0,26.55,0,0,,pink,,1,sigma,134.12429951747626
0,71.0,1,1,bigollo-33,pink,70.0,1,sigma,62.3018604543723
1,71.0,2,0,bigollo-33,blue,36.0,1,sigma,141.07756130787075
1,26.55,1,1,bigollo-37,blue,64.0,1,sigma,112.20813554392662
0,71.2833,0,1,cantor-96,pink,39.0,1,gamma,42.1181885553069
